Model,Precision,Recall,F1_Score
Logistic Regression,0.6510067114093959,0.5187165775401069,0.5773809523809523
Random Forest,0.5534883720930233,0.6363636363636364,0.5920398009950248
XGBoost,0.6346153846153846,0.5294117647058824,0.577259475218659
